"Time (CET)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"05.01.2015 11:00 - 05.01.2015 11:15","11587","12642"
"05.01.2015 11:15 - 05.01.2015 11:30","11636","12621"
"05.01.2015 11:30 - 05.01.2015 11:45","11671","12785"
"05.01.2015 11:45 - 05.01.2015 12:00","11743","12763"
"05.01.2015 12:00 - 05.01.2015 12:15","11632","12545"
"05.01.2015 12:15 - 05.01.2015 12:30","11560","12450"
"05.01.2015 12:30 - 05.01.2015 12:45","11576","12408"
"05.01.2015 12:45 - 05.01.2015 13:00","11537","12468"
"05.01.2015 13:00 - 05.01.2015 13:15","11622","12442"
"05.01.2015 13:15 - 05.01.2015 13:30","11554","12429"
"05.01.2015 13:30 - 05.01.2015 13:45","11543","12466"
"05.01.2015 13:45 - 05.01.2015 14:00","11504","12393"
"05.01.2015 14:00 - 05.01.2015 14:15","11542","12393"
"05.01.2015 14:15 - 05.01.2015 14:30","11485","12371"
"05.01.2015 14:30 - 05.01.2015 14:45","11429","12346"
"05.01.2015 14:45 - 05.01.2015 15:00","11377","12327"
"05.01.2015 15:00 - 05.01.2015 15:15","11502","12403"
"05.01.2015 15:15 - 05.01.2015 15:30","11488","12324"
"05.01.2015 15:30 - 05.01.2015 15:45","11478","12255"
"05.01.2015 15:45 - 05.01.2015 16:00","11470","12293"
"05.01.2015 16:00 - 05.01.2015 16:15","11503","12294"
"05.01.2015 16:15 - 05.01.2015 16:30","11530","12325"
"05.01.2015 16:30 - 05.01.2015 16:45","11602","12373"
"05.01.2015 16:45 - 05.01.2015 17:00","11840","12437"
"05.01.2015 17:00 - 05.01.2015 17:15","12245","12704"
"05.01.2015 17:15 - 05.01.2015 17:30","12368","13067"
"05.01.2015 17:30 - 05.01.2015 17:45","12491","13329"
"05.01.2015 17:45 - 05.01.2015 18:00","12551","13405"
"05.01.2015 18:00 - 05.01.2015 18:15","12715","13349"
"05.01.2015 18:15 - 05.01.2015 18:30","12649","13264"
"05.01.2015 18:30 - 05.01.2015 18:45","12561","13125"
"05.01.2015 18:45 - 05.01.2015 19:00","12467","13167"
"05.01.2015 19:00 - 05.01.2015 19:15","12359","12996"
"05.01.2015 19:15 - 05.01.2015 19:30","12225","12855"
"05.01.2015 19:30 - 05.01.2015 19:45","12038","12683"
"05.01.2015 19:45 - 05.01.2015 20:00","11915","12558"
"05.01.2015 20:00 - 05.01.2015 20:15","11682","12415"
"05.01.2015 20:15 - 05.01.2015 20:30","11536","12249"
"05.01.2015 20:30 - 05.01.2015 20:45","11354","12063"
"05.01.2015 20:45 - 05.01.2015 21:00","11234","11891"
"05.01.2015 21:00 - 05.01.2015 21:15","11085","11627"
"05.01.2015 21:15 - 05.01.2015 21:30","11008","11540"
"05.01.2015 21:30 - 05.01.2015 21:45","10893","11411"
"05.01.2015 21:45 - 05.01.2015 22:00","10794","11365"
"05.01.2015 22:00 - 05.01.2015 22:15","11007","11495"
"05.01.2015 22:15 - 05.01.2015 22:30","11247","11737"
"05.01.2015 22:30 - 05.01.2015 22:45","11318","11798"
"05.01.2015 22:45 - 05.01.2015 23:00","11269","11758"
"05.01.2015 23:00 - 05.01.2015 23:15","11351","11862"
"05.01.2015 23:15 - 05.01.2015 23:30","11206","11765"
"05.01.2015 23:30 - 05.01.2015 23:45","11017","11600"
"05.01.2015 23:45 - 06.01.2015 00:00","10841","11379"
"06.01.2015 00:00 - 06.01.2015 00:15","10881","11194"
"06.01.2015 00:15 - 06.01.2015 00:30","10683","11118"
"06.01.2015 00:30 - 06.01.2015 00:45","10517","11071"
"06.01.2015 00:45 - 06.01.2015 01:00","10336","10891"
"06.01.2015 01:00 - 06.01.2015 01:15","9913","10799"
"06.01.2015 01:15 - 06.01.2015 01:30","9746","10732"
"06.01.2015 01:30 - 06.01.2015 01:45","9575","10652"
"06.01.2015 01:45 - 06.01.2015 02:00","9410","10444"
"06.01.2015 02:00 - 06.01.2015 02:15","9370","10397"
"06.01.2015 02:15 - 06.01.2015 02:30","9250","10323"
"06.01.2015 02:30 - 06.01.2015 02:45","9155","10185"
"06.01.2015 02:45 - 06.01.2015 03:00","9071","10217"
"06.01.2015 03:00 - 06.01.2015 03:15","9015","10130"
"06.01.2015 03:15 - 06.01.2015 03:30","8948","10120"
"06.01.2015 03:30 - 06.01.2015 03:45","8913","9977"
"06.01.2015 03:45 - 06.01.2015 04:00","8888","9989"
"06.01.2015 04:00 - 06.01.2015 04:15","8974","10100"
"06.01.2015 04:15 - 06.01.2015 04:30","8984","10024"
"06.01.2015 04:30 - 06.01.2015 04:45","9002","10035"
"06.01.2015 04:45 - 06.01.2015 05:00","9041","10153"
"06.01.2015 05:00 - 06.01.2015 05:15","9202","10237"
"06.01.2015 05:15 - 06.01.2015 05:30","9272","10285"
"06.01.2015 05:30 - 06.01.2015 05:45","9367","10446"
"06.01.2015 05:45 - 06.01.2015 06:00","9497","10691"
"06.01.2015 06:00 - 06.01.2015 06:15","9870","11091"
"06.01.2015 06:15 - 06.01.2015 06:30","10042","11465"
"06.01.2015 06:30 - 06.01.2015 06:45","10178","11723"
"06.01.2015 06:45 - 06.01.2015 07:00","10269","11994"
"06.01.2015 07:00 - 06.01.2015 07:15","10537","12127"
"06.01.2015 07:15 - 06.01.2015 07:30","10648","12445"
"06.01.2015 07:30 - 06.01.2015 07:45","10829","12745"
"06.01.2015 07:45 - 06.01.2015 08:00","11013","12846"
"06.01.2015 08:00 - 06.01.2015 08:15","11214","12966"
"06.01.2015 08:15 - 06.01.2015 08:30","11424","13024"
"06.01.2015 08:30 - 06.01.2015 08:45","11493","12960"
"06.01.2015 08:45 - 06.01.2015 09:00","11543","12915"
"06.01.2015 09:00 - 06.01.2015 09:15","11583","12945"
"06.01.2015 09:15 - 06.01.2015 09:30","11653","13029"
"06.01.2015 09:30 - 06.01.2015 09:45","11756","13154"
"06.01.2015 09:45 - 06.01.2015 10:00","11840","13091"
"06.01.2015 10:00 - 06.01.2015 10:15","11868","13021"
"06.01.2015 10:15 - 06.01.2015 10:30","11884","12959"
"06.01.2015 10:30 - 06.01.2015 10:45","11890","12918"
"06.01.2015 10:45 - 06.01.2015 11:00","11910","12997"
"06.01.2015 11:00 - 06.01.2015 11:15","11919","12920"
"06.01.2015 11:15 - 06.01.2015 11:30","11989","12969"
"06.01.2015 11:30 - 06.01.2015 11:45","12056","13084"
"06.01.2015 11:45 - 06.01.2015 12:00","12096","13033"
"06.01.2015 12:00 - 06.01.2015 12:15","12003","12886"
"06.01.2015 12:15 - 06.01.2015 12:30","11947","12723"
"06.01.2015 12:30 - 06.01.2015 12:45","11918","12826"
"06.01.2015 12:45 - 06.01.2015 13:00","11885","12839"
"06.01.2015 13:00 - 06.01.2015 13:15","12044","12876"
"06.01.2015 13:15 - 06.01.2015 13:30","11970","12773"
"06.01.2015 13:30 - 06.01.2015 13:45","11968","12744"
"06.01.2015 13:45 - 06.01.2015 14:00","11923","12785"
"06.01.2015 14:00 - 06.01.2015 14:15","11966","12807"
"06.01.2015 14:15 - 06.01.2015 14:30","11930","12776"
"06.01.2015 14:30 - 06.01.2015 14:45","11883","12741"
"06.01.2015 14:45 - 06.01.2015 15:00","11856","12718"
"06.01.2015 15:00 - 06.01.2015 15:15","11942","12683"
"06.01.2015 15:15 - 06.01.2015 15:30","11916","12712"
"06.01.2015 15:30 - 06.01.2015 15:45","11941","12724"
"06.01.2015 15:45 - 06.01.2015 16:00","11944","12793"
"06.01.2015 16:00 - 06.01.2015 16:15","11862","12759"
"06.01.2015 16:15 - 06.01.2015 16:30","11883","12835"
"06.01.2015 16:30 - 06.01.2015 16:45","11963","12794"
"06.01.2015 16:45 - 06.01.2015 17:00","12215","13014"
"06.01.2015 17:00 - 06.01.2015 17:15","12478","13290"
"06.01.2015 17:15 - 06.01.2015 17:30","12611","13487"
"06.01.2015 17:30 - 06.01.2015 17:45","12694","13626"
"06.01.2015 17:45 - 06.01.2015 18:00","12751","13641"
"06.01.2015 18:00 - 06.01.2015 18:15","12785","13690"
"06.01.2015 18:15 - 06.01.2015 18:30","12718","13615"
"06.01.2015 18:30 - 06.01.2015 18:45","12648","13490"
"06.01.2015 18:45 - 06.01.2015 19:00","12536","13408"
"06.01.2015 19:00 - 06.01.2015 19:15","12428","13164"
"06.01.2015 19:15 - 06.01.2015 19:30","12280","13024"
"06.01.2015 19:30 - 06.01.2015 19:45","12159","12954"
"06.01.2015 19:45 - 06.01.2015 20:00","12033","12796"
"06.01.2015 20:00 - 06.01.2015 20:15","11818","12686"
"06.01.2015 20:15 - 06.01.2015 20:30","11652","12382"
"06.01.2015 20:30 - 06.01.2015 20:45","11516","12252"
"06.01.2015 20:45 - 06.01.2015 21:00","11423","12169"
"06.01.2015 21:00 - 06.01.2015 21:15","11212","11933"
"06.01.2015 21:15 - 06.01.2015 21:30","11119","11802"
"06.01.2015 21:30 - 06.01.2015 21:45","11055","11608"
"06.01.2015 21:45 - 06.01.2015 22:00","10997","11480"
"06.01.2015 22:00 - 06.01.2015 22:15","11075","11685"
"06.01.2015 22:15 - 06.01.2015 22:30","11337","11913"
"06.01.2015 22:30 - 06.01.2015 22:45","11464","11981"
"06.01.2015 22:45 - 06.01.2015 23:00","11458","11909"
"06.01.2015 23:00 - 06.01.2015 23:15","11432","11959"
"06.01.2015 23:15 - 06.01.2015 23:30","11312","11916"
"06.01.2015 23:30 - 06.01.2015 23:45","11146","11667"
"06.01.2015 23:45 - 07.01.2015 00:00","10997","11592"
"07.01.2015 00:00 - 07.01.2015 00:15","10977","11328"
"07.01.2015 00:15 - 07.01.2015 00:30","10833","11099"
"07.01.2015 00:30 - 07.01.2015 00:45","10680","11037"
"07.01.2015 00:45 - 07.01.2015 01:00","10516","10853"
"07.01.2015 01:00 - 07.01.2015 01:15","10338","10771"
"07.01.2015 01:15 - 07.01.2015 01:30","10165","10520"
"07.01.2015 01:30 - 07.01.2015 01:45","9986","10416"
"07.01.2015 01:45 - 07.01.2015 02:00","9821","10339"
"07.01.2015 02:00 - 07.01.2015 02:15","9840","10233"
"07.01.2015 02:15 - 07.01.2015 02:30","9713","10171"
"07.01.2015 02:30 - 07.01.2015 02:45","9615","10181"
"07.01.2015 02:45 - 07.01.2015 03:00","9530","10123"
"07.01.2015 03:00 - 07.01.2015 03:15","9556","10084"
"07.01.2015 03:15 - 07.01.2015 03:30","9484","10001"
"07.01.2015 03:30 - 07.01.2015 03:45","9451","9983"
"07.01.2015 03:45 - 07.01.2015 04:00","9427","10010"
"07.01.2015 04:00 - 07.01.2015 04:15","9464","9953"
"07.01.2015 04:15 - 07.01.2015 04:30","9471","9939"
"07.01.2015 04:30 - 07.01.2015 04:45","9493","10025"
"07.01.2015 04:45 - 07.01.2015 05:00","9537","10095"
"07.01.2015 05:00 - 07.01.2015 05:15","9782","10109"
"07.01.2015 05:15 - 07.01.2015 05:30","9855","10298"
"07.01.2015 05:30 - 07.01.2015 05:45","9960","10390"
"07.01.2015 05:45 - 07.01.2015 06:00","10095","10648"
"07.01.2015 06:00 - 07.01.2015 06:15","10818","10971"
"07.01.2015 06:15 - 07.01.2015 06:30","11003","11197"
"07.01.2015 06:30 - 07.01.2015 06:45","11149","11541"
"07.01.2015 06:45 - 07.01.2015 07:00","11249","11880"
"07.01.2015 07:00 - 07.01.2015 07:15","11934","12148"
"07.01.2015 07:15 - 07.01.2015 07:30","12057","12422"
"07.01.2015 07:30 - 07.01.2015 07:45","12261","12644"
"07.01.2015 07:45 - 07.01.2015 08:00","12475","12670"
"07.01.2015 08:00 - 07.01.2015 08:15","12480","12828"
"07.01.2015 08:15 - 07.01.2015 08:30","12716","12889"
"07.01.2015 08:30 - 07.01.2015 08:45","12796","12816"
"07.01.2015 08:45 - 07.01.2015 09:00","12850","12890"
"07.01.2015 09:00 - 07.01.2015 09:15","12726","12849"
"07.01.2015 09:15 - 07.01.2015 09:30","12803","12760"
"07.01.2015 09:30 - 07.01.2015 09:45","12920","12776"
"07.01.2015 09:45 - 07.01.2015 10:00","13014","12810"
"07.01.2015 10:00 - 07.01.2015 10:15","12885","12680"
"07.01.2015 10:15 - 07.01.2015 10:30","12908","12638"
"07.01.2015 10:30 - 07.01.2015 10:45","12925","12676"
"07.01.2015 10:45 - 07.01.2015 11:00","12955","12654"
"07.01.2015 11:00 - 07.01.2015 11:15","12873","12753"
"07.01.2015 11:15 - 07.01.2015 11:30","12950","12767"
"07.01.2015 11:30 - 07.01.2015 11:45","13020","12815"
"07.01.2015 11:45 - 07.01.2015 12:00","13065","12740"
"07.01.2015 12:00 - 07.01.2015 12:15","12796","12556"
"07.01.2015 12:15 - 07.01.2015 12:30","12742","12504"
"07.01.2015 12:30 - 07.01.2015 12:45","12712","12626"
"07.01.2015 12:45 - 07.01.2015 13:00","12676","12635"
"07.01.2015 13:00 - 07.01.2015 13:15","12818","12613"
"07.01.2015 13:15 - 07.01.2015 13:30","12731","12594"
"07.01.2015 13:30 - 07.01.2015 13:45","12720","12527"
"07.01.2015 13:45 - 07.01.2015 14:00","12671","12512"
"07.01.2015 14:00 - 07.01.2015 14:15","12656","12494"
"07.01.2015 14:15 - 07.01.2015 14:30","12616","12506"
"07.01.2015 14:30 - 07.01.2015 14:45","12561","12516"
"07.01.2015 14:45 - 07.01.2015 15:00","12534","12513"
"07.01.2015 15:00 - 07.01.2015 15:15","12626","12432"
"07.01.2015 15:15 - 07.01.2015 15:30","12599","12534"
"07.01.2015 15:30 - 07.01.2015 15:45","12619","12495"
"07.01.2015 15:45 - 07.01.2015 16:00","12627","12549"
"07.01.2015 16:00 - 07.01.2015 16:15","12610","12523"
"07.01.2015 16:15 - 07.01.2015 16:30","12630","12560"
"07.01.2015 16:30 - 07.01.2015 16:45","12715","12642"
"07.01.2015 16:45 - 07.01.2015 17:00","12986","12858"
"07.01.2015 17:00 - 07.01.2015 17:15","13100","13080"
"07.01.2015 17:15 - 07.01.2015 17:30","13244","13403"
"07.01.2015 17:30 - 07.01.2015 17:45","13335","13495"
"07.01.2015 17:45 - 07.01.2015 18:00","13397","13574"
"07.01.2015 18:00 - 07.01.2015 18:15","13281","13493"
"07.01.2015 18:15 - 07.01.2015 18:30","13212","13454"
"07.01.2015 18:30 - 07.01.2015 18:45","13133","13368"
"07.01.2015 18:45 - 07.01.2015 19:00","13015","13277"
"07.01.2015 19:00 - 07.01.2015 19:15","12881","12998"
"07.01.2015 19:15 - 07.01.2015 19:30","12729","12863"
"07.01.2015 19:30 - 07.01.2015 19:45","12605","12657"
"07.01.2015 19:45 - 07.01.2015 20:00","12472","12599"
"07.01.2015 20:00 - 07.01.2015 20:15","12290","12439"
"07.01.2015 20:15 - 07.01.2015 20:30","12117","12311"
"07.01.2015 20:30 - 07.01.2015 20:45","11981","12147"
"07.01.2015 20:45 - 07.01.2015 21:00","11887","11943"
"07.01.2015 21:00 - 07.01.2015 21:15","11583","11833"
"07.01.2015 21:15 - 07.01.2015 21:30","11487","11716"
"07.01.2015 21:30 - 07.01.2015 21:45","11418","11480"
"07.01.2015 21:45 - 07.01.2015 22:00","11353","11292"
"07.01.2015 22:00 - 07.01.2015 22:15","11259","11519"
"07.01.2015 22:15 - 07.01.2015 22:30","11527","11676"
"07.01.2015 22:30 - 07.01.2015 22:45","11659","11752"
"07.01.2015 22:45 - 07.01.2015 23:00","11657","11658"
"07.01.2015 23:00 - 07.01.2015 23:15","11561","11953"
"07.01.2015 23:15 - 07.01.2015 23:30","11440","11849"
"07.01.2015 23:30 - 07.01.2015 23:45","11273","11647"
"07.01.2015 23:45 - 08.01.2015 00:00","11126","11490"
"08.01.2015 00:00 - 08.01.2015 00:15","10823","11276"
"08.01.2015 00:15 - 08.01.2015 00:30","10668","11090"
"08.01.2015 00:30 - 08.01.2015 00:45","10539","10798"
"08.01.2015 00:45 - 08.01.2015 01:00","10379","10819"
"08.01.2015 01:00 - 08.01.2015 01:15","10546","10793"
"08.01.2015 01:15 - 08.01.2015 01:30","10332","10636"
"08.01.2015 01:30 - 08.01.2015 01:45","10236","10377"
"08.01.2015 01:45 - 08.01.2015 02:00","10087","10271"
"08.01.2015 02:00 - 08.01.2015 02:15","10101","10241"
"08.01.2015 02:15 - 08.01.2015 02:30","9959","10147"
"08.01.2015 02:30 - 08.01.2015 02:45","9837","9982"
"08.01.2015 02:45 - 08.01.2015 03:00","9776","9961"
"08.01.2015 03:00 - 08.01.2015 03:15","9757","9893"
"08.01.2015 03:15 - 08.01.2015 03:30","9669","9755"
"08.01.2015 03:30 - 08.01.2015 03:45","9642","9793"
"08.01.2015 03:45 - 08.01.2015 04:00","9620","9772"
"08.01.2015 04:00 - 08.01.2015 04:15","9698","9750"
"08.01.2015 04:15 - 08.01.2015 04:30","9681","9810"
"08.01.2015 04:30 - 08.01.2015 04:45","9670","9858"
"08.01.2015 04:45 - 08.01.2015 05:00","9686","9893"
"08.01.2015 05:00 - 08.01.2015 05:15","10021","10014"
"08.01.2015 05:15 - 08.01.2015 05:30","10058","10203"
"08.01.2015 05:30 - 08.01.2015 05:45","10132","10256"
"08.01.2015 05:45 - 08.01.2015 06:00","10179","10476"
"08.01.2015 06:00 - 08.01.2015 06:15","11007","10844"
"08.01.2015 06:15 - 08.01.2015 06:30","11193","11094"
"08.01.2015 06:30 - 08.01.2015 06:45","11350","11436"
"08.01.2015 06:45 - 08.01.2015 07:00","11399","11736"
"08.01.2015 07:00 - 08.01.2015 07:15","12076","11950"
"08.01.2015 07:15 - 08.01.2015 07:30","12202","12260"
"08.01.2015 07:30 - 08.01.2015 07:45","12326","12412"
"08.01.2015 07:45 - 08.01.2015 08:00","12387","12574"
"08.01.2015 08:00 - 08.01.2015 08:15","12402","12661"
"08.01.2015 08:15 - 08.01.2015 08:30","12554","12684"
"08.01.2015 08:30 - 08.01.2015 08:45","12585","12766"
"08.01.2015 08:45 - 08.01.2015 09:00","12646","12812"
"08.01.2015 09:00 - 08.01.2015 09:15","12496","12823"
"08.01.2015 09:15 - 08.01.2015 09:30","12583","12832"
"08.01.2015 09:30 - 08.01.2015 09:45","12688","12863"
"08.01.2015 09:45 - 08.01.2015 10:00","12751","12900"
"08.01.2015 10:00 - 08.01.2015 10:15","12550","12928"
"08.01.2015 10:15 - 08.01.2015 10:30","12634","12921"
"08.01.2015 10:30 - 08.01.2015 10:45","12711","12922"
"08.01.2015 10:45 - 08.01.2015 11:00","12742","12932"
"08.01.2015 11:00 - 08.01.2015 11:15","12660","13039"
"08.01.2015 11:15 - 08.01.2015 11:30","12723","13014"
"08.01.2015 11:30 - 08.01.2015 11:45","12768","13166"
"08.01.2015 11:45 - 08.01.2015 12:00","12812","13131"
"08.01.2015 12:00 - 08.01.2015 12:15","12567","12856"
"08.01.2015 12:15 - 08.01.2015 12:30","12513","12729"
"08.01.2015 12:30 - 08.01.2015 12:45","12519","12695"
"08.01.2015 12:45 - 08.01.2015 13:00","12491","12748"
"08.01.2015 13:00 - 08.01.2015 13:15","12622","12899"
"08.01.2015 13:15 - 08.01.2015 13:30","12559","12819"
"08.01.2015 13:30 - 08.01.2015 13:45","12531","12878"
"08.01.2015 13:45 - 08.01.2015 14:00","12484","12874"
"08.01.2015 14:00 - 08.01.2015 14:15","12512","12822"
"08.01.2015 14:15 - 08.01.2015 14:30","12471","12856"
"08.01.2015 14:30 - 08.01.2015 14:45","12423","12815"
"08.01.2015 14:45 - 08.01.2015 15:00","12398","12805"
"08.01.2015 15:00 - 08.01.2015 15:15","12467","12768"
"08.01.2015 15:15 - 08.01.2015 15:30","12429","12723"
"08.01.2015 15:30 - 08.01.2015 15:45","12447","12793"
"08.01.2015 15:45 - 08.01.2015 16:00","12425","12807"
"08.01.2015 16:00 - 08.01.2015 16:15","12379","12808"
"08.01.2015 16:15 - 08.01.2015 16:30","12413","12841"
"08.01.2015 16:30 - 08.01.2015 16:45","12497","12862"
"08.01.2015 16:45 - 08.01.2015 17:00","12658","12801"
"08.01.2015 17:00 - 08.01.2015 17:15","12793","13089"
"08.01.2015 17:15 - 08.01.2015 17:30","13034","13302"
"08.01.2015 17:30 - 08.01.2015 17:45","13209","13502"
"08.01.2015 17:45 - 08.01.2015 18:00","13327","13627"
"08.01.2015 18:00 - 08.01.2015 18:15","13285","13435"
"08.01.2015 18:15 - 08.01.2015 18:30","13293","13400"
"08.01.2015 18:30 - 08.01.2015 18:45","13266","13341"
"08.01.2015 18:45 - 08.01.2015 19:00","13238","13127"
"08.01.2015 19:00 - 08.01.2015 19:15","12891","12948"
"08.01.2015 19:15 - 08.01.2015 19:30","12821","12725"
"08.01.2015 19:30 - 08.01.2015 19:45","12749","12593"
"08.01.2015 19:45 - 08.01.2015 20:00","12643","12496"
"08.01.2015 20:00 - 08.01.2015 20:15","12261","12405"
"08.01.2015 20:15 - 08.01.2015 20:30","12193","12169"
"08.01.2015 20:30 - 08.01.2015 20:45","12123","11954"
"08.01.2015 20:45 - 08.01.2015 21:00","11995","11775"
"08.01.2015 21:00 - 08.01.2015 21:15","11655","11697"
"08.01.2015 21:15 - 08.01.2015 21:30","11624","11671"
"08.01.2015 21:30 - 08.01.2015 21:45","11533","11524"
"08.01.2015 21:45 - 08.01.2015 22:00","11427","11434"
"08.01.2015 22:00 - 08.01.2015 22:15","11613","11595"
"08.01.2015 22:15 - 08.01.2015 22:30","11789","11733"
"08.01.2015 22:30 - 08.01.2015 22:45","11753","11877"
"08.01.2015 22:45 - 08.01.2015 23:00","11662","11850"
"08.01.2015 23:00 - 08.01.2015 23:15","11831","11975"
"08.01.2015 23:15 - 08.01.2015 23:30","11654","11700"
"08.01.2015 23:30 - 08.01.2015 23:45","11485","11402"
"08.01.2015 23:45 - 09.01.2015 00:00","11317","11357"
"09.01.2015 00:00 - 09.01.2015 00:15","11183","11236"
"09.01.2015 00:15 - 09.01.2015 00:30","10969","10999"
"09.01.2015 00:30 - 09.01.2015 00:45","10758","10891"
"09.01.2015 00:45 - 09.01.2015 01:00","10630","10649"
"09.01.2015 01:00 - 09.01.2015 01:15","10597","10545"
"09.01.2015 01:15 - 09.01.2015 01:30","10382","10442"
"09.01.2015 01:30 - 09.01.2015 01:45","10286","10342"
"09.01.2015 01:45 - 09.01.2015 02:00","10139","10243"
"09.01.2015 02:00 - 09.01.2015 02:15","10149","10132"
"09.01.2015 02:15 - 09.01.2015 02:30","10007","10106"
"09.01.2015 02:30 - 09.01.2015 02:45","9885","9977"
"09.01.2015 02:45 - 09.01.2015 03:00","9823","9948"
"09.01.2015 03:00 - 09.01.2015 03:15","9806","9903"
"09.01.2015 03:15 - 09.01.2015 03:30","9715","9874"
"09.01.2015 03:30 - 09.01.2015 03:45","9687","9904"
"09.01.2015 03:45 - 09.01.2015 04:00","9664","9799"
"09.01.2015 04:00 - 09.01.2015 04:15","9742","9735"
"09.01.2015 04:15 - 09.01.2015 04:30","9726","9715"
"09.01.2015 04:30 - 09.01.2015 04:45","9714","9706"
"09.01.2015 04:45 - 09.01.2015 05:00","9730","9846"
"09.01.2015 05:00 - 09.01.2015 05:15","10047","10076"
"09.01.2015 05:15 - 09.01.2015 05:30","10087","10093"
"09.01.2015 05:30 - 09.01.2015 05:45","10160","10224"
"09.01.2015 05:45 - 09.01.2015 06:00","10209","10431"
"09.01.2015 06:00 - 09.01.2015 06:15","11017","10727"
"09.01.2015 06:15 - 09.01.2015 06:30","11208","11133"
"09.01.2015 06:30 - 09.01.2015 06:45","11370","11330"
"09.01.2015 06:45 - 09.01.2015 07:00","11419","11700"
"09.01.2015 07:00 - 09.01.2015 07:15","12106","11882"
"09.01.2015 07:15 - 09.01.2015 07:30","12234","12055"
"09.01.2015 07:30 - 09.01.2015 07:45","12357","12134"
"09.01.2015 07:45 - 09.01.2015 08:00","12420","12356"
"09.01.2015 08:00 - 09.01.2015 08:15","12453","12489"
"09.01.2015 08:15 - 09.01.2015 08:30","12605","12718"
"09.01.2015 08:30 - 09.01.2015 08:45","12636","12790"
"09.01.2015 08:45 - 09.01.2015 09:00","12695","12732"
"09.01.2015 09:00 - 09.01.2015 09:15","12536","12705"
"09.01.2015 09:15 - 09.01.2015 09:30","12620","12657"
"09.01.2015 09:30 - 09.01.2015 09:45","12721","12763"
"09.01.2015 09:45 - 09.01.2015 10:00","12785","12774"
"09.01.2015 10:00 - 09.01.2015 10:15","12575","12748"
"09.01.2015 10:15 - 09.01.2015 10:30","12656","12737"
"09.01.2015 10:30 - 09.01.2015 10:45","12733","12747"
"09.01.2015 10:45 - 09.01.2015 11:00","12763","12794"
"09.01.2015 11:00 - 09.01.2015 11:15","12679","12866"
"09.01.2015 11:15 - 09.01.2015 11:30","12737","12980"
"09.01.2015 11:30 - 09.01.2015 11:45","12779","12943"
"09.01.2015 11:45 - 09.01.2015 12:00","12825","12862"
"09.01.2015 12:00 - 09.01.2015 12:15","12562","12664"
"09.01.2015 12:15 - 09.01.2015 12:30","12509","12668"
"09.01.2015 12:30 - 09.01.2015 12:45","12517","12579"
"09.01.2015 12:45 - 09.01.2015 13:00","12489","12521"
"09.01.2015 13:00 - 09.01.2015 13:15","12607","12536"
"09.01.2015 13:15 - 09.01.2015 13:30","12546","12538"
"09.01.2015 13:30 - 09.01.2015 13:45","12519","12512"
"09.01.2015 13:45 - 09.01.2015 14:00","12471","12434"
"09.01.2015 14:00 - 09.01.2015 14:15","12493","12371"
"09.01.2015 14:15 - 09.01.2015 14:30","12453","12317"
"09.01.2015 14:30 - 09.01.2015 14:45","12403","12208"
"09.01.2015 14:45 - 09.01.2015 15:00","12381","12221"
"09.01.2015 15:00 - 09.01.2015 15:15","12428","12193"
"09.01.2015 15:15 - 09.01.2015 15:30","12392","12137"
"09.01.2015 15:30 - 09.01.2015 15:45","12408","12142"
"09.01.2015 15:45 - 09.01.2015 16:00","12385","12204"
"09.01.2015 16:00 - 09.01.2015 16:15","12269","12217"
"09.01.2015 16:15 - 09.01.2015 16:30","12303","12274"
"09.01.2015 16:30 - 09.01.2015 16:45","12388","12360"
"09.01.2015 16:45 - 09.01.2015 17:00","12548","12547"
"09.01.2015 17:00 - 09.01.2015 17:15","12652","12655"
"09.01.2015 17:15 - 09.01.2015 17:30","12887","12757"
"09.01.2015 17:30 - 09.01.2015 17:45","13056","12818"
"09.01.2015 17:45 - 09.01.2015 18:00","13169","12873"
"09.01.2015 18:00 - 09.01.2015 18:15","13073","12816"
"09.01.2015 18:15 - 09.01.2015 18:30","13082","12839"
